c1ccc2c(c1)nc-3c(=O)[nH]c(=O)nc3n2CCOC(=O)CCl	ZINC01718072
C[C@@]1(C2(CCCCC2)C(=O)N[C@]13CCCC=C3)O	ZINC01723038
CC[NH2+]CCC[NH2+]CC	ZINC01723260
c1cc(cc(c1)N2CCCC2)N3CCCC3	ZINC01728154
[H]/N=C(\[C@H](C#N)C(=O)OCC)/C(Cl)(Cl)Cl	ZINC01737769
c1cc(sc1)C2(C(=NC(=O)N2)[O-])c3cccs3	ZINC01743197
c1c2c(nc(n2c(cn1)Cl)Cl)Cl	ZINC01743326
c1ccc(cc1)C[C@@H]2CCCCC2=O	ZINC01744394
c1cc(c(c(c1)Cl)Cl)Nc2cc(=O)[nH]c(=O)[nH]2	ZINC01746048
c1ccc(cc1)C(=C2NC(=O)C(=O)O2)c3ccccc3	ZINC01751863
c1ccc(cc1)[C@@H]2CCC[C@H]2O	ZINC01765796
C[C@H](C(=O)NCCC(=O)[O-])Oc1cccc(c1)Br	ZINC01787360
C[C@@H](C(=O)NCC(=O)[O-])SC(=O)c1cccs1	ZINC01846079
CCNS(=O)(=O)c1ccc(c(c1)Cl)Cl	ZINC01865424
c1ccc2c(c1)c3ccccc3[nH]2	ZINC01866749
COCCC/N=C\1/C(C(=O)N[C@H](S1)c2cccc(c2)[N+](=O)[O-])C#N	ZINC01872262
c1cc[n+](cc1)[C@H](CO)[C@@H](CO)I	ZINC01873441
Cc1c(sc2c1c(ncn2)NCC(C)C)C	ZINC01972870
